Org Code,Sub-portals,Research Themes,Departments/Colleges/Labs/Centers,Parent Organization
CTML,oncology,Oncology,UACC TUC CTO Melanoma Team,Cancer Center Clinical Trials Tucson
CTPE,oncology,Oncology,UACC TUC CTO Pediatrics Team,Cancer Center Clinical Trials Tucson
CTPI,oncology,Oncology,UACC TUC CTO Phase I Trials,Cancer Center Clinical Trials Tucson
CTRO,oncology,Oncology,UACC TUC CTO Radiation Oncology Team,Cancer Center Clinical Trials Tucson
CTSA,oncology,Oncology,UACC TUC CTO Sarcoma Team,Cancer Center Clinical Trials Tucson
CTSO,oncology,Oncology,UACC TUC CTO Supportive Oncology Team,Cancer Center Clinical Trials Tucson
721A,oncology,Oncology,Cancer Center Administration,Cancer Center Division
721C,oncology,Oncology,Cancer Center Clinical Trials Tucson,Cancer Center Division
721O,oncology,Oncology,Cancer Center Community Outreach,Cancer Center Division
721P,oncology,Oncology,Cancer Center Phoenix Campus,Cancer Center Division
721R,oncology,Oncology,Cancer Center Research,Cancer Center Division
CCT,oncology,Oncology,Cancer Center Clinical Trials,Cancer Center Division
CTCO,oncology,Oncology,Clinical Trials-Cooperative Agreements,Cancer Center Division
0766,clinical,Clinical Areas,Surgery - Clinical Research,Surgery
713X,clinical,Clinical Areas,"DoM - Cardiology, Kino",DoM - Rosa Fung
HLAF,med_health,Medicine & Health,Senior VP Health Affairs,SVP Health Sciences
AHSC,med_health,Medicine & Health,Arizona Health Sciences,University
GCCS,med_health,Medicine & Health,UAGC Clinical Services,University of Arizona Genetics Core
4209,public_health,Public Health,RURAL HEALTH OFFICE,Public Health Administration
7501,med_health,Medicine & Health,Campus Health and Wellness,Campus Health and Wellness
9017,med_health,Medicine & Health,Occupational Health,RDI Research Infrastructure
0404,astro,Astrophysics,Steward Observatory,College of Science
0423,cognitive_sci,Cognitive Sciences,Psychology,College of Science
0420,life_sci,Life Sciences,Ecology & Evolutionary Biology,College of Science
3502,sci_math,Science & Mathematics,Speech Language & Hearing Sci,College of Science
1205,earth_sci,Earth Sciences,Geosciences,College of Science
0469,earth_sci,Earth Sciences,Hydrology & Atmospheric Sci,College of Science
0411,physics,Physics,Physics,College of Science
0413,lpl,Planetary Sciences,Lunar and Planetary Laboratory,College of Science
0412,sci_math,Science & Mathematics,Computer Science,College of Science
0430,sci_math,Science & Mathematics,Mathematics,College of Science
2529,cognitive_sci,Cognitive Sciences,Neuroscience,College of Science
0464,cognitive_sci,Cognitive Sciences,Cognitive Science,College of Science
2534,cognitive_sci,Cognitive Sciences,Sch of Mind Brain & Behavior,College of Science
7920,earth_sci,Earth Sciences,Office of Sustainability,Business Affairs Division
0463,astro,Astrophysics,Large Binocular Telescope Obs,College of Science
0471,earth_sci,Earth Sciences,Arizona Geological Survey,College of Science
1204,life_sci,Life Sciences,Tree Ring Laboratory,College of Science
2535,earth_sci,Earth Sciences,Sch of Earth & Enviro Sciences,College of Science
2530,earth_sci,Earth Sciences,Institute of the Environment,RDI Centers & Institutes
2001,sci_math,Science & Mathematics,James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci
0102,life_sci,Life Sciences,Veterinary Sci & Microbio-Ins,College of Agric and Life Sci
0108,agriculture,Agriculture,Agric Educ Tech & Innov-Ins,College of Agric and Life Sci
0112,earth_sci,Earth Sciences,Sch of Natural Resources-Ins,College of Agric and Life Sci
0115,earth_sci,Earth Sciences,Arid Lands Studies-Ins,College of Agric and Life Sci
0121,earth_sci,Earth Sciences,Environmental Science-Ins,College of Agric and Life Sci
0123,life_sci,Life Sciences,Nutritional Sciences-Ins,College of Agric and Life Sci
0124,life_sci,Life Sciences,Animal Sciences-Ins,College of Agric and Life Sci
0125,life_sci,Life Sciences,School of Plant Sciences-Ins,College of Agric and Life Sci
0131,life_sci,Life Sciences,Entomology-Ins,College of Agric and Life Sci
0150,life_sci,Life Sciences,Animal&Biomedical Sciences-Ins,College of Agric and Life Sci
1202,earth_sci,Earth Sciences,Water Resources Rsch Ctr-Res,College of Agric and Life Sci
2402,life_sci,Life Sciences,VeterinaryA Sci & Microbio-Res,College of Agric and Life Sci
2406,agriculture,Agriculture,Campus Agriculture Center,College of Agric and Life Sci
2408,agriculture,Agriculture,Agric Educ Tech & Innov-Res,College of Agric and Life Sci
2411,agriculture,Agriculture,Arizona Experiment Station,College of Agric and Life Sci
2412,earth_sci,Earth Sciences,Sch of Nat Resource&Enviro-Res,College of Agric and Life Sci
2415,agriculture,Agriculture,Safford Agriculture Center,College of Agric and Life Sci
2416,agriculture,Agriculture,YCEDA,College of Agric and Life Sci
2419,agriculture,Agriculture,Citrus Agriculture Center,College of Agric and Life Sci
2421,earth_sci,Earth Sciences,Environmental Science-Res,College of Agric and Life Sci
2423,life_sci,Life Sciences,Nutritional Sciences-Res,College of Agric and Life Sci
2424,life_sci,Life Sciences,Animal Sciences-Res,College of Agric and Life Sci
2425,life_sci,Life Sciences,School of Plant Sciences-Res,College of Agric and Life Sci
2426,agriculture,Agriculture,MARANA AGRICULTURE CENTER,College of Agric and Life Sci
2427,agriculture,Agriculture,DK Ranch,College of Agric and Life Sci
2428,agriculture,Agriculture,V-Bar-V Ranch-Res,College of Agric and Life Sci
2429,agriculture,Agriculture,Yuma Agriculture Center-Res,College of Agric and Life Sci
2430,agriculture,Agriculture,Maricopa Agricultural Ctr-Res,College of Agric and Life Sci
2431,life_sci,Life Sciences,Entomology-Res,College of Agric and Life Sci
2433,life_sci,Life Sciences,AZ Veterinary Diagnostic Lab,College of Agric and Life Sci
2450,life_sci,Life Sciences,Animal&Biomedical Sciences-Res,College of Agric and Life Sci
2503,earth_sci,Earth Sciences,Arid Lands Studies-Res,College of Agric and Life Sci
2504,agriculture,Agriculture,Agriculture Demonstration Farm,College of Agric and Life Sci
0402,earth_sci,Earth Sciences,Atmospheric Sciences,College of Science
0417,life_sci,Life Sciences,Molecular and Cellular Biology,College of Science
0422,astro,Astrophysics,Astronomy,College of Science
0425,sci_math,Science & Mathematics,Chemistry,College of Science
0426,lpl,Planetary Sciences,Planetary Sciences,College of Science
0438,astro,Astrophysics,MMT Observatory,College of Science
0501,earth_sci,Earth Sciences,Institute Atmospheric Physics,College of Science
2508,life_sci,Life Sciences,Biochem & Molecular Biophysics,College of Science
2519,cognitive_sci,Cognitive Sciences,Neuro Communication Disorders,College of Science
2522,sci_math,Science & Mathematics,AZ Research Labs - Science,College of Science
2524,sci_math,Science & Mathematics,AZ RESEARCH LABS - CHEMISTRY,College of Science
2525,earth_sci,Earth Sciences,AZ Research Labs - Geosciences,College of Science
2526,physics,Physics,AZ Research Labs - Physics,College of Science
2528,sci_math,Science & Mathematics,Sch of Info: Sci Tech & Arts,College of Science
2533,cognitive_sci,Cognitive Sciences,GIDP Neuroscience,College of Science
2536,life_sci,Life Sciences,Chemistry & Biochemistry-Sci,College of Science
2871,sci_math,Science & Mathematics,Lowell Institute for Min Res,College of Science
0152,sci_math,Science & Mathematics,CALS Administration,College of Agric and Life Sci
0442,sci_math,Science & Mathematics,Science Administration,College of Science
1101,sci_math,Science & Mathematics,Flandrau Science Center,College of Science
SCNC,sci_math,Science & Mathematics,College of Science,Colleges of Letters Arts & Sci
CARS,sci_math,Science & Mathematics,Carson Scholars Programs,Institute of the Environment
CBPR,earth_sci,Earth Sciences,CommunityBased Participatory Environment,Institute of the Environment
CCAS,earth_sci,Earth Sciences,Ctr for Climate Adapt Sci and Solutions,Institute of the Environment
CLMS,earth_sci,Earth Sciences,Climate Assessment for the Southwest,Institute of the Environment
HESJ,earth_sci,Earth Sciences,Haury Prgm in Envr and Social Justice,Institute of the Environment
IEA,earth_sci,Earth Sciences,IE Administration,Institute of the Environment
IRAP,earth_sci,Earth Sciences,International Research Applications Prgm,Institute of the Environment
SWCA,earth_sci,Earth Sciences,Southwest Climate Adaptation Science Ctr,Institute of the Environment
ABMS,sci_math,Science & Mathematics,Analytical & Biological Mass Spec,AZ Rsch Labs-Interdisciplinary
NPGP,sci_math,Science & Mathematics,Peyghambarian Group,James C Wyant Coll Optical Sci
BIOT,sci_math,Science & Mathematics,Biotechnology,AZ Rsch Labs-Interdisciplinary
CGF,sci_math,Science & Mathematics,Cryogenics & Compressed Gas Facility,AZ Rsch Labs-Interdisciplinary
9021,life_sci,Life Sciences,Center for Insect Science,RDI Centers & Institutes
CORE,sci_math,Science & Mathematics,Research Core Services,AZ Rsch Labs-Interdisciplinary
CSGP,life_sci,Life Sciences,Center for Insect Science GIDP,AZ Rsch Labs-Interdisciplinary
FGC,life_sci,Life Sciences,Functional Genomics Core,AZ Rsch Labs-Interdisciplinary
FLOW,sci_math,Science & Mathematics,Flow Cytometry Facility,AZ Rsch Labs-Interdisciplinary
GENE,life_sci,Life Sciences,Human Evolutionary Genetics,AZ Rsch Labs-Interdisciplinary
IMGC,sci_math,Science & Mathematics,Imaging Cores,AZ Rsch Labs-Interdisciplinary
MNFC,sci_math,Science & Mathematics,Micro/Nano Fabrication Center,AZ Rsch Labs-Interdisciplinary
MSC,sci_math,Science & Mathematics,Molecular Structures Core,AZ Rsch Labs-Interdisciplinary
NRL,sci_math,Science & Mathematics,Nuclear Reactor Laboratory,AZ Rsch Labs-Interdisciplinary
SOCD,sci_math,Science & Mathematics,Social Development,AZ Rsch Labs-Interdisciplinary
TBIR,sci_math,Science & Mathematics,Translational BioImaging Resource,AZ Rsch Labs-Interdisciplinary
UAGC,life_sci,Life Sciences,University of Arizona Genetics Core,AZ Rsch Labs-Interdisciplinary
0855,life_sci,Life Sciences,Viper Institute,RDI Centers & Institutes
1306,earth_sci,Earth Sciences,Biosphere 2,RDI Centers & Institutes
2547,astro,Astrophysics,Arizona Space Institute,RDI Centers & Institutes
2548,earth_sci,Earth Sciences,Tumamoc Hill,RDI Centers & Institutes
9011,sci_math,Science & Mathematics,BIO5 Institute,RDI Centers & Institutes
1203,earth_sci,Earth Sciences,Hydrology and Water Resources,College of Science
VTMD,life_sci,Life Sciences,College of Veterinary Medicine,Academic Affairs Provost
1307,earth_sci,Earth Sciences,BIOSPHERE 2,Biosphere 2
AGCE,agriculture,Agriculture,CALS Cooperative Ext,VP Ag/Life/Vet/Ext
AGGN,sci_math,Science & Mathematics,Ag/Life/Vet/Ext Div,VP Ag/Life/Vet/Ext
AGSC,sci_math,Science & Mathematics,College of Agric and Life Sci,VP Ag/Life/Vet/Ext
ICKP,sci_math,Science & Mathematics,Imaging Kuiper - Electron Microscopy,Imaging Cores
ICML,sci_math,Science & Mathematics,Imaging Marley - Light Microscopy,Imaging Cores
ILSN,sci_math,Science & Mathematics,Imaging LSN - Optical & Electron,Imaging Cores
1501,sci_math,Science & Mathematics,Agric Extension Administration,CALS Cooperative Ext
1503,life_sci,Life Sciences,Veterinary & Sci Microbio-Ext,CALS Cooperative Ext
1508,agriculture,Agriculture,Extension Programs,CALS Cooperative Ext
1510,agriculture,Agriculture,Tribal Extension Programs,CALS Cooperative Ext
1511,sci_math,Science & Mathematics,Apache County Office,CALS Cooperative Ext
1512,earth_sci,Earth Sciences,Sch of Nat Resource&Enviro-Ext,CALS Cooperative Ext
1515,earth_sci,Earth Sciences,Arid Lands Studies-Ext,CALS Cooperative Ext
1521,earth_sci,Earth Sciences,Environmental Science-Ext,CALS Cooperative Ext
1522,sci_math,Science & Mathematics,Cochise County Office,CALS Cooperative Ext
1523,life_sci,Life Sciences,Nutritional Sciences-Ext,CALS Cooperative Ext
1524,life_sci,Life Sciences,Animal Sciences-Ext,CALS Cooperative Ext
1525,life_sci,Life Sciences,School of Plant Sciences-Ext,CALS Cooperative Ext
1531,life_sci,Life Sciences,Entomology-Ext,CALS Cooperative Ext
1533,sci_math,Science & Mathematics,Coconino County Office,CALS Cooperative Ext
1534,sci_math,Science & Mathematics,Gila County Office,CALS Cooperative Ext
1535,sci_math,Science & Mathematics,Graham County Office,CALS Cooperative Ext
1536,sci_math,Science & Mathematics,Greenlee County Office,CALS Cooperative Ext
1537,sci_math,Science & Mathematics,Maricopa County Office,CALS Cooperative Ext
1538,sci_math,Science & Mathematics,Mohave County Office,CALS Cooperative Ext
1539,sci_math,Science & Mathematics,Navajo County Office,CALS Cooperative Ext
1540,sci_math,Science & Mathematics,Pima County Office,CALS Cooperative Ext
1541,sci_math,Science & Mathematics,Pinal County Office,CALS Cooperative Ext
1542,sci_math,Science & Mathematics,Santa Cruz County Office,CALS Cooperative Ext
1543,sci_math,Science & Mathematics,Yavapai County Office,CALS Cooperative Ext
1544,sci_math,Science & Mathematics,Yuma County Office,CALS Cooperative Ext
1545,sci_math,Science & Mathematics,La Paz County Office,CALS Cooperative Ext
1550,life_sci,Life Sciences,Animal&Biomedical Sciences-Ext,CALS Cooperative Ext
1551,agriculture,Agriculture,Safford Agriculture Center-Ext,CALS Cooperative Ext
1552,agriculture,Agriculture,Agric Educ Tech & Innov-Ext,CALS Cooperative Ext
1553,agriculture,Agriculture,Maricopa Ag Center-Ext,CALS Cooperative Ext
1554,agriculture,Agriculture,Yuma Ag Center-Ext,CALS Cooperative Ext
1555,earth_sci,Earth Sciences,Water Resources Resrch Ctr-Ext,CALS Cooperative Ext
1556,agriculture,Agriculture,Campus Ag Center-Ext,CALS Cooperative Ext
1558,agriculture,Agriculture,V-Bar-V Ranch-Ext,CALS Cooperative Ext
1562,sci_math,Science & Mathematics,CALS Admin-Ext,CALS Cooperative Ext
0104,life_sci,Life Sciences,Boyce Thompson Arboretum,College of Agric and Life Sci
CBC1,sci_math,Science & Mathematics,Tomat's Accounts,Chemistry & Biochemistry-Sci
0140,life_sci,Life Sciences,Vet Med Administration,College of Veterinary Medicine
0301,earth_sci,Earth Sciences,ENVIRONMENTAL RESEARCH LAB,Environmental Science-Res
2507,sci_math,Science & Mathematics,Applied Mathematics GIDP,Graduate College
0745,life_sci,Life Sciences,Physiological Sci Grad Prog,Physiology
AGLS,sci_math,Science & Mathematics,VP Ag/Life/Vet/Ext,Sr VP Acad Affairs and Provost
2401,sci_math,Science & Mathematics,Research Administration,College of Agric and Life Sci
2446,sci_math,Science & Mathematics,CALS International Programs,College of Agric and Life Sci
2495,sci_math,Science & Mathematics,Mining and Mineral Museum,RDI Museums Division
2511,sci_math,Science & Mathematics,AZ Rsch Labs-Interdisciplinary,RDI Research Infrastructure
2500,earth_sci,Earth Sciences,Water Energy Sustainable Tech,RDI Centers & Institutes
0410,anthropology,Anthropology,School of Anthropology,College of Social & Behav Sci
0465,social_sci,Social Sciences,School of Govt & Public Policy,College of Social & Behav Sci
9006,cultural_studies,Cultural Studies,American Indian Studies Prog,College of Social & Behav Sci
3505,social_sci,Social Sciences,Communication,College of Social & Behav Sci
0433,social_sci,Social Sciences,Gender and Womens Studies,College of Social & Behav Sci
3008,social_sci,Social Sciences,Sch of Geography & Development,College of Social & Behav Sci
0415,history,History,History,College of Social & Behav Sci
0481,social_sci,Social Sciences,School of Information,College of Social & Behav Sci
0419,journalism,Journalism,Journalism,College of Social & Behav Sci
0457,cultural_studies,Cultural Studies,AZ Center for Judaic Studies,College of Social & Behav Sci
0437,cultural_studies,Cultural Studies,Latin American Area Center,College of Social & Behav Sci
0431,social_sci,Social Sciences,Linguistics,College of Social & Behav Sci
0432,cultural_studies,Cultural Studies,Mexican American Studies,College of Social & Behav Sci
0448,cultural_studies,Cultural Studies,Ctr for Middle Eastern Studies,College of Social & Behav Sci
0416,cultural_studies,Cultural Studies,Sch Middle E/N African Studies,College of Social & Behav Sci
0418,social_sci,Social Sciences,Sociology,College of Social & Behav Sci
2523,social_sci,Social Sciences,Planning Degree Program,Col Arch Plan & Landscape Arch
0403,social_sci,Social Sciences,Political Science,College of Social & Behav Sci
0414,anthropology,Anthropology,Bur of Applied Rsch in Anthro,College of Social & Behav Sci
0443,social_sci,Social Sciences,Social & Behavioral Sci Admin,College of Social & Behav Sci
0444,social_sci,Social Sciences,Soc & Behavioral Sci Rsch Inst,College of Social & Behav Sci
0445,social_sci,Social Sciences,SW Institute for Rsch on Women,College of Social & Behav Sci
0447,social_sci,Social Sciences,Southwest Studies Center,College of Social & Behav Sci
0449,history,History,Medieval Reformation Studies,College of Social & Behav Sci
0476,social_sci,Social Sciences,Political Economy & Moral Sci,College of Social & Behav Sci
1801,social_sci,Social Sciences,Arizona Quarterly,College of Social & Behav Sci
2701,social_sci,Social Sciences,Journal of the Southwest,College of Social & Behav Sci
3206,social_sci,Social Sciences,Sch of Info Res & Library Sci,College of Social & Behav Sci
SBSC,social_sci,Social Sciences,College of Social & Behav Sci,Colleges of Letters Arts & Sci
8903,journalism,Journalism,Arizona Student Media,Dean of Students
2305,engineering,Engineering,Aerospace & Mechanical Engr,College of Engineering
2328,engineering,Engineering,Biomedical Engineering,College of Engineering
2308,engineering,Engineering,Civil Arch Engr and Mechanics,College of Engineering
2803,engineering,Engineering,Chemical & Environmental Engr,College of Engineering
2303,engineering,Engineering,Electrical and Computer Engr,College of Engineering
2302,engineering,Engineering,Systems and Industrial Engr,College of Engineering
2804,engineering,Engineering,Materials Science & Engr,College of Engineering
2802,engineering,Engineering,Mining & Geological Engr,College of Engineering
0153,technology,Technology,CALS Comm and Technologies,College of Agric and Life Sci
0601,technology,Technology,Bureau of Mineral Technology,College of Engineering
2306,engineering,Engineering,Engineering Experiment Station,College of Engineering
2309,engineering,Engineering,School of Sustainable Engr Sys,College of Engineering
2301,engineering,Engineering,Engineering Administration,College of Engineering
ENGR,engineering,Engineering,College of Engineering,Academic Affairs Provost
1520,engineering,Engineering,Biosystems Engineering - Ext,CALS Cooperative Ext
EN06,engineering,Engineering,Engineering Research,Engineering Administration
0122,engineering,Engineering,Biosystems Engineering - Ins,College of Agric and Life Sci
2422,engineering,Engineering,Biosystems Engineering - Res,College of Agric and Life Sci
0728,technology,Technology,COM Info Technology Services,College of Medicine - Tucson
2604,technology,Technology,UITS -COMPUTING SERVICES,Univ Information Tech Svcs
9504,technology,Technology,UITS-COMPUTING SERVICES,Univ Info Tech Svcs Admin
3011,technology,Technology,Eller Information Technology,Eller College of Management
3106,technology,Technology,UITS Equipment Services,Univ Info Tech Services Div
6819,technology,Technology,UAHS ITS & Instructional Suppt,Az Health Sciences Division
7451,technology,Technology,UITS-Network Tech Solutions,Univ Info Tech Services Div
9304,technology,Technology,LEARNING TECHNOLOGIES/FAC DEV,Ctr for Educ Rsch in Culture
9501,technology,Technology,Univ Info Tech Svcs Admin,Univ Info Tech Services Div
9502,technology,Technology,UITS-ADMINSTRATIVE COMPUTING,Univ Info Tech Svcs Admin
9507,technology,Technology,Institutional IT Applications,Chief Information Officer Div
9520,technology,Technology,UITS Admin,Univ Info Tech Services Div
